,Payee,Paid_By,Payment_Amount,Payment_Date,Payee_Type,Payee_Address,City_State_Zip,Payment_Year,Expenditure_Type,Date_Reported,Report_Filed,Expense_Description,Travel_Outside_Texas,Political_Obligation,Reimbursement_Intended,Correction,View_Report,TRANSACTION_ID,Single Member Council Districts,BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
10,Two Squared Media,Fight for Austin,750.0,2020-10-27,ENTITY,155 Meadow Slope Dr,"Talent, OR, 97540",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | Two Squared Media consulted on marketing materials,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00006,,,,,
11,Left Hand Design Austin,Fight for Austin,1732.0,2020-12-03,ENTITY,155 Meadow Slope Dr.,"Talent, OR, 97540",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Fee for designing promotional materials.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00001,,,,,
12,Hennig Productions,Fight for Austin,4005.0,2020-10-15,ENTITY,2003 N. Lamar,"Austin, TX, 78705",2020,Political Expenditure From Political Contributions,10/27/2020,CORPAC: Correction Affidavit For Political Committee,CONSULT | Video editing,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=349391),R20201003100711135-F00001,,,,,
13,Compose Digital Design,Fight for Austin,750.0,2020-10-19,ENTITY,440 N 3rd St,"Baton Rouge, LA, 70802",2020,Political Expenditure From Political Contributions,10/27/2020,CORPAC: Correction Affidavit For Political Committee,CONSULT | Graphic design,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=349391),R20201003100711135-F00005,,,,,
14,VICTORY SOLUTION,Fight for Austin,24443.48,2020-10-23,ENTITY,19571 Progress Drive,"Strongsville, OH, 44149",2020,Political Expenditure From Political Contributions,10/27/2020,CORPAC: Correction Affidavit For Political Committee,ADVERTISE | FIGHT FOR AUSTIN VOTER INFO AD,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=349391),R20201003100711135-F00004,,,,,
15,Mailchimp,Fight for Austin,137.51,2020-10-15,ENTITY,"675 Ponce de Leon Ave NE, Suite 5000","Atlanta, GA, 30308",2020,Political Expenditure From Political Contributions,10/27/2020,CORPAC: Correction Affidavit For Political Committee,CONSULT | Donor Update Mail List Service,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=349391),R20201003100711135-F00006,,,,,
16,VICTORY SOLUTION,Fight for Austin,3581.15,2020-10-13,ENTITY,19571 Progress Drive.,"Strongsville, OH, 44149",2020,Political Expenditure From Political Contributions,10/27/2020,CORPAC: Correction Affidavit For Political Committee,ADVERTISE | Fight For Austin Voter Info Ad,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=349391),R20201003100711135-F00002,,,,,
17,"IHEARTMEDIA, INC",Fight for Austin,5000.0,2020-10-13,ENTITY,"3601 S Congress Ave , Bldg F","Austin, TX, 78704",2020,Political Expenditure From Political Contributions,10/27/2020,CORPAC: Correction Affidavit For Political Committee,ADVERTISE | Fight For Austin Voter Info Radio Ad,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=349391),R20201003100711135-F00003,,,,,
18,Compose Digital Design,Fight for Austin,750.0,2020-10-19,ENTITY,440 N 3rd St,"Baton Rouge, LA, 70802",2020,Political Expenditure From Political Contributions,10/26/2020,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Graphic design,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349334),R20201003100711123-F00003,,,,,
19,VICTORY SOLUTION,Fight for Austin,3581.15,2020-10-13,ENTITY,19571 Progress Drive.,"Strongsville, OH, 44149",2020,Political Expenditure From Political Contributions,10/26/2020,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | Fight For Austin Voter Info Ad,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349334),R20201003100711123-F00006,,,,,
20,"IHEARTMEDIA, INC",Fight for Austin,5000.0,2020-10-13,ENTITY,"3601 S Congress Ave , Bldg F","Austin, TX, 78704",2020,Political Expenditure From Political Contributions,10/26/2020,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | Fight For Austin Voter Info Radio Ad,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349334),R20201003100711123-F00001,,,,,
21,VICTORY SOLUTION,Fight for Austin,24443.48,2020-10-23,ENTITY,19571 Progress Drive,"Strongsville, OH, 44149",2020,Political Expenditure From Political Contributions,10/26/2020,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | FIGHT FOR AUSTIN VOTER INFO AD,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349334),R20201003100711123-F00004,,,,,
22,Hennig Productions,Fight for Austin,4005.0,2020-10-15,ENTITY,2003 N. Lamar,"Austin, TX, 78705",2020,Political Expenditure From Political Contributions,10/26/2020,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Video editing,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349334),R20201003100711123-F00002,,,,,
23,Mailchimp,Fight for Austin,137.51,2020-10-15,ENTITY,"675 Ponce de Leon Ave NE, Suite 5000","Atlanta, GA, 30308",2020,Political Expenditure From Political Contributions,10/26/2020,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Donor Update Mail List Service,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349334),R20201003100711123-F00005,,,,,
24,"Davidson, Donna",Fight for Austin,815.0,2020-09-15,INDIVIDUAL,P.O. Box 12131,"Austin, TX, 78711",2020,Political Expenditure From Political Contributions,10/08/2020,GPAC: General-Purpose Committee Campaign Finance Report,LEGAL | Legal Services,,Yes,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348308),R20200716100711045-F00001,,,,,
25,Mailchimp,Fight for Austin,137.51,2020-09-14,ENTITY,"675 Ponce de Leon Ave NE, Suite 5000","Atlanta, GA, 30308",2020,Political Expenditure From Political Contributions,10/08/2020,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Donor Communications Service,,Yes,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348308),R20200716100711045-F00002,,,,,
